"tipo";"en";"fr";"japones_literal";"propuesta_1";"propuesta_2";"propuesta_3";"decision";"glosario_actual";"notas";"japones_original";"gameKeys";"usos"
"territory";"The Eighteenth Floor";"Salle des développeurs";"Sala de desarrollo";"Planta Dieciocho";"Piso Dieciocho";"";"Planta Dieciocho";"";"";"かいはつしつ";"PlaceName#1660.0";"map,territory"
"territory";"The Empty";"Le Grand Vide";"Tierra de la nada";"El Vacío";"Tierras del Vacío";"Nada";"El Vacío";"la Nada";"";"無の大地";"PlaceName#3143.0,PlaceName#3225.0";"map,marker,territory"
"territory";"The Excitatron 6000";"Ludodrome";"Excitatron (nombre transcrito)";"Excitatrón 6000";"Emocionatrón 6000";"";"Excitatrón 6000";"";"";"エキサイトロン";"PlaceName#4111.0";"duty,map,territory"
"territory";"The Fall of Belah'dia";"Chutes de Belah'dia";"Circuito de obstáculos especial inspirado en las ruinas de Belah'dia";"Caída de Belah'dia";"Saltos de Belah'dia";"";"Caída de Belah'dia";"";"";"ベラフディア遺跡風特設アスレチック";"PlaceName#2498.0";"duty,map,territory"
"territory";"The Falling City of Nym";"Cité croulante de Nym";"Circuito de obstáculos especial inspirado en las ruinas flotantes de Nym";"Ciudad Caída de Nym";"Ciudad Derruida de Nym";"";"Ciudad Caída de Nym";"";"";"ニーム浮遊遺跡風特設アスレチック";"PlaceName#2527.0";"duty,map,territory"
"territory";"The Feasting Grounds";"Festin des loups";"Campo de maniobras de la Cárcel de los Lobos";"Campos del Festín";"Campo del Banquete";"";"Campos del Festín";"";"";"ウルヴズジェイル演習場";"PlaceName#1664.0";"map,territory"
"territory";"The Fell Court of Troia";"Château de Troïa";"Corte de Troia (inglés transcrito)";"Corte Maldita de Troia";"Corte Funesta de Troia";"";"Corte Maldita de Troia";"";"";"トロイアコート";"PlaceName#4036.0,PlaceName#4180.0";"duty,map,marker,territory"
"territory";"The Fervid Limbo";"Limbes du Pandæmonium - Fournaise";"Pandæmonium: nivel inferior del limbo";"Limbo Ardiente";"Limbo Abrasador";"";"Limbo Ardiente";"";"";"パンデモニウム辺獄下層";"PlaceName#3797.0";"duty,map,territory"
"territory";"The Fields of Glory";"Champs de la Gloire";"Campo de Gloria (inglés transcrito)";"Campos de Gloria";"Campos de la Gloria";"";"Campos de Gloria";"";"";"フィールド・オブ・グローリー";"PlaceName#1740.0";"duty,map,territory"
"territory";"The Final Day";"Orée de la fin";"Fin del confín";"Día Final";"Último Día";"";"Día Final";"";"";"果ての終焉";"PlaceName#3686.0";"duty,map,territory"
"territory";"The Firmament";"Azurée";"Distrito del cielo azul";"El Firmamento";"Distrito Celeste";"Firmament";"El Firmamento";"el Firmament";"Protegido en el glosario; revisar esa protección si se traduce.";"蒼天街";"PlaceName#3435.0";"map,territory"
"territory";"The First Altar of Djanan Qhat";"Grand autel de Djanan Qhat";"Altar subterráneo de Djanan Qhat";"Primer Altar de Djanan Qhat";"Altar Primero de Djanan Qhat";"";"Primer Altar de Djanan Qhat";"";"";"ジャナン・カット地下祭壇";"PlaceName#2339.0";"map,territory"
"territory";"The Fist of the Father";"Le Poing du Père";"Puño de Gordias (inglés transcrito)";"Puño del Padre";"Puño de Gordias";"";"Puño del Padre";"";"";"フィスト・オブ・ゴルディオス";"PlaceName#1628.0";"duty,map,territory"
"territory";"The Fist of the Son";"Le Poing du Fils";"Puño de Midas (inglés transcrito)";"Puño del Hijo";"Puño de Midas";"";"Puño del Hijo";"";"";"フィスト・オブ・ミダース";"PlaceName#1708.0";"duty,map,territory"
"territory";"The Fold";"La Louverie (The Fold)";"El Redil (inglés transcrito)";"El Redil";"La Lobera";"";"El Redil";"";"";"ザ・フォールド";"PlaceName#154.0,PlaceName#918.0,PlaceName#5125.0";"duty,map,territory"
"territory";"The For'ard Cabins";"Cabines de Proue";"Camarotes de Proa (inglés transcrito) / frente a los Camarotes de Proa";"Camarotes de Proa";"Cabinas de Proa";"";"Camarotes de Proa";"Cabinas de Proa";"";"フォルアード・キャビンズ / フォルアード・キャビンズ前";"PlaceName#4540.0,PlaceName#4728.0,PlaceName#5038.0";"aethernet,map,marker,territory"
"territory";"The Fractal Continuum";"Le Continuum fractal";"Continuo Fractal (inglés transcrito)";"Continuo Fractal";"Continuidad Fractal";"";"Continuo Fractal";"";"";"フラクタル・コンティニアム";"PlaceName#2148.0";"duty,map,marker,territory"
"territory";"The Fringes";"Les Marges";"Zona fronteriza de Gyr Abania";"Las Fronteras";"Los Confines";"Fringes";"Las Fronteras";"las Fringes";"";"ギラバニア辺境地帯";"PlaceName#2406.0";"duty,map,marker,territory"
"territory";"The Gandof Thunder Plains";"Plaine foudroyée de Gandof";"Llanuras del trueno de Gandof";"Llanuras del Trueno de Gandof";"Llanuras Fulminantes de Gandof";"";"Llanuras del Trueno de Gandof";"";"";"ガンドフ雷平原";"PlaceName#3468.0";"duty,map,territory"
"territory";"The Garden of Nowhere";"Jardin du désespoir";"Jardín de la desesperación";"Jardín de Ninguna Parte";"Jardín de la Nada";"";"Jardín de Ninguna Parte";"";"";"絶望の園";"PlaceName#3635.0";"duty,map,territory"
"territory";"The Gates of Pandæmonium";"Limbes du Pandæmonium - Parvis";"Puerta principal de Pandæmonium";"Puertas de Pandæmonium";"Portal de Pandæmonium";"";"Puertas de Pandæmonium";"";"";"パンデモニウム正門";"PlaceName#3769.0,PlaceName#4033.0";"duty,map,marker,territory"
"territory";"The Ghimlyt Dark";"Les Ténèbres de Ghimlyt";"Oscuridad de Ghimlyt (inglés transcrito)";"Oscuridad de Ghimlyt";"Tinieblas de Ghimlyt";"";"Oscuridad de Ghimlyt";"";"";"ギムリトダーク";"PlaceName#2586.0";"duty,map,marker,territory"
"territory";"The Gilded Araya";"Temple d'Araya";"Pagoda del tesoro de Araya";"Araya Dorada";"Templo Dorado de Araya";"";"Araya Dorada";"";"";"アラヤの宝塔";"PlaceName#4377.0";"duty,map,territory"
"territory";"The Goblet";"La Coupe";"Butte de la Copa (inglés transcrito)";"La Copa";"El Cáliz";"";"El Cáliz";"";"";"ゴブレットビュート";"PlaceName#427.0,PlaceName#1163.0";"map,mapsub,marker,territory"
"territory";"The Gold Saucer";"Gold Saucer";"Platillo Dorado (inglés transcrito)";"Platillo Dorado";"Platillo de Oro";"Gold Saucer";"Gold Saucer";"Gold Saucer";"Protegido en el glosario; revisar esa protección si se traduce. Gold Saucer está protegido en el glosario. Cualquier cambio requiere actualizar esa decisión.";"ゴールドソーサー";"PlaceName#1484.0,PlaceName#5545.0";"aetheryte,duty,map,mapsub,marker,territory"
"territory";"The Grand Cosmos";"Cosmos coruscant";"Gran Cosmos (nombre transcrito)";"Gran Cosmos";"Gran Universo";"";"Gran Cosmos";"";"";"グラン・コスモス";"PlaceName#3385.0";"duty,map,marker,territory"
"territory";"The Great Gubal Library";"Grande bibliothèque de Gubal";"Biblioteca fantástica de Gubal";"Gran Biblioteca de Gubal";"Biblioteca Mayor de Gubal";"";"Gran Biblioteca de Gubal";"";"";"グブラ幻想図書館";"PlaceName#2038.0";"duty,map,marker,territory"
"territory";"The Great Hunt";"Domaine du roi des cieux";"Coto de caza de la gran pradera";"La Gran Cacería";"La Gran Caza";"";"La Gran Cacería";"";"";"大草原の狩場";"PlaceName#2448.0";"duty,map,territory"
"territory";"The Halo";"Halo pinaculaire / Pont supérieur d'Éden";"Cubierta de Edén";"El Halo";"La Aureola";"";"El Halo";"";"Nombre compartido por ubicaciones distintas; conservar el contexto por gameKey.";"エデン甲板";"PlaceName#3215.0,PlaceName#3470.0";"duty,map,territory"
"territory";"The Heroes' Gauntlet";"Traversée de Norvrandt";"Batalla decisiva de oscuridad, Norvrandt";"Prueba de los Héroes";"Travesía de los Héroes";"";"Prueba de los Héroes";"";"";"漆黒決戦 ノルヴラント";"PlaceName#3511.0";"duty,map,marker,territory"
"territory";"The Hollow Purgatory";"Bloc des créations arborescentes";"Bloque de aislamiento del árbol de la creación";"Purgatorio Hueco";"Purgatorio Vacuo";"";"Purgatorio Hueco";"";"";"創生樹隔離棟";"PlaceName#4198.0";"duty,map,territory"
"territory";"The Holocharts";"Salle de contrôle RCI-03";"Tercera nave de clase Ragnarok: sala de operaciones";"Sala de Holomapas";"Sala de Cartografía Holográfica";"";"Sala de Holomapas";"";"";"ラグナロク級三番艦：作戦室";"PlaceName#1304.0";"duty,map,marker,territory"
"territory";"The Hourglass";"Le Sablier";"Posada «Reloj de Arena»";"El Reloj de Arena";"Posada del Reloj de Arena";"";"El Reloj de Arena";"el Reloj de Arena";"";"宿屋「砂時計亭」";"PlaceName#617.0";"map,marker,territory"
"territory";"The House of the Fierce";"Cercle des Intrépides";"Ermita de los héroes resueltos";"Casa de los Intrépidos";"Refugio de los Valientes";"";"Casa de los Intrépidos";"la Casa de los Intrépidos";"";"烈士庵";"PlaceName#2805.0";"aetheryte,map,marker,territory"
"territory";"The Howling Eye";"Hurlœil / Hurlœil (abord)";"Periferia del Ojo Aullante / conjunto de torres de piedra del Ojo Aullante";"Ojo Aullante";"Ojo del Aullido";"";"Ojo Aullante";"";"";"ハウリングアイ外縁 / ハウリングアイ石塔群";"PlaceName#361.0,PlaceName#459.0";"duty,map,territory"
"territory";"The Imperial Palace";"Palais impérial";"Castillo magitec de la capital imperial";"Palacio Imperial";"Palacio del Imperio";"";"Palacio Imperial";"";"";"帝都魔導城";"PlaceName#3429.0";"duty,map,territory"
"territory";"The Interdimensional Rift";"Fissure interdimensionnelle";"Intersticio entre dimensiones";"Fisura Interdimensional";"Intersticio Dimensional";"";"Fisura Interdimensional";"";"";"次元の狭間";"PlaceName#2284.0,PlaceName#2727.0,PlaceName#2737.0,PlaceName#4288.0";"duty,map,territory"
"territory";"The Jade Stoa";"Clairière de Jade";"Bambusal del emperador blanco";"Estoa de Jade";"Pórtico de Jade";"";"El Claro de Jade";"";"";"白帝の竹林";"PlaceName#2354.0";"duty,map,territory"
"territory";"The Keeper of the Lake";"Gardien du lac";"Torre del pacto tácito";"Guardián del Lago";"Custodio del Lago";"";"Guardián del Lago";"";"";"黙約の塔";"PlaceName#418.0";"duty,map,marker,territory"
"territory";"The Last Trace";"Vestiges oubliés";"Ruinas perdidas";"Último Vestigio";"Última Huella";"";"Último Vestigio";"";"";"失われた遺跡";"PlaceName#3542.0";"duty,map,marker,territory"
"territory";"The Lavender Beds";"Lavandière";"Lechos de Lavanda (inglés transcrito)";"Lavandales";"Jardines de Lavanda";"Lechos de Lavanda";"Las Camas de Lavanda";"";"";"ラベンダーベッド";"PlaceName#426.0,PlaceName#1165.0";"map,mapsub,marker,territory"
"territory";"The Lightfeather Proving Grounds";"Carrière de Lesteplume";"Arena Pluma Ligera";"Campo de Pruebas de Pluma Ligera";"Arena de Pluma Ligera";"";"Arena de Pluma Ligera";"";"";"ライトフェザー闘技場";"PlaceName#2313.0,PlaceName#2338.0";"map,marker,territory"
"territory";"The Limitless Blue";"L'Immensité bleue";"Espacio aéreo azul ultramar";"Azul Infinito";"Inmensidad Azul";"";"Inmensidad Azul";"";"";"群青空域";"PlaceName#2151.0";"duty,map,territory"
"territory";"The Lochs";"Les Lacs";"Zona lacustre de Gyr Abania";"Los Lagos";"Las Lagunas";"Lochs";"Los Lagos";"los Lochs";"";"ギラバニア湖畔地帯";"PlaceName#2408.0";"duty,map,marker,territory"
"territory";"The Lost Canals of Uznair";"Canaux perdus d'Uznair";"Canal de Uznair (inglés transcrito)";"Canales Perdidos de Uznair";"Canales Olvidados de Uznair";"";"Canales Perdidos de Uznair";"";"";"ウズネアカナル";"PlaceName#2340.0";"duty,map,territory"
"territory";"The Lost City of Amdapor";"Vestiges de la cité d'Amdapor";"Ciudad antigua de Amdapor; variante con «ruinas corrompidas»";"Ciudad Perdida de Amdapor";"Antigua Ciudad de Amdapor";"";"Ciudad Perdida de Amdapor";"";"";"古アムダプール市街 / 腐敗遺跡 古アムダプール市街";"PlaceName#125.0,PlaceName#1069.0";"duty,map,marker,territory"
"territory";"The Lunar Subterrane";"Souterrain lunaire";"Valle subterráneo de la luna";"Subterráneos Lunares";"Subsuelo Lunar";"";"Subterráneos Lunares";"";"";"月の地下渓谷";"PlaceName#4431.0,PlaceName#4432.0,PlaceName#4438.0";"duty,map,mapsub,marker,territory"
"territory";"The Maiden's Home";"Appartements de la belle demoiselle";"Casa de la hermosa muchacha";"Hogar de la Doncella";"Casa de la Doncella";"";"Hogar de la Doncella";"";"";"美しい娘の家";"PlaceName#4764.0";"map,territory"
"territory";"The Manderville Tables";"Tables des Manderville";"Mesa Manderville / salón de mahjong magitec «Manderville»";"Mesas Manderville";"Salón de Juego Manderville";"";"Mesas Manderville";"";"";"テーブル・マンダヴィル / 魔導雀荘「マンダヴィル」";"PlaceName#1498.0,PlaceName#2549.0";"duty,marker,territory"
"territory";"The Memory of Embers";"Interstice du chant onirique";"Espacio de la imaginación poética";"Recuerdo de las Brasas";"Memoria de las Ascuas";"";"Memoria de las Ascuas";"";"";"詩想空間";"PlaceName#4442.0";"duty,map,territory"
"territory";"The Meso Terminal";"Mésoterminal";"Terminal principal (inglés transcrito)";"Mesoterminal";"Terminal Central";"";"Mesoterminal";"Meso Terminal";"Protegido en el glosario; revisar esa protección si se traduce.";"メインターミナル";"PlaceName#5266.0";"duty,map,marker,territory"
"territory";"The Mothercrystal";"Cristal-mère";"Cristal Madre (inglés transcrito)";"Cristal Madre";"Cristal Primigenio";"";"Cristal Madre";"Cristal Madre";"";"マザークリスタル";"PlaceName#3685.0";"duty,map,territory"
"territory";"The Nabaath Mines";"Mines des Nabaath";"Minas de la familia Nabaath";"Minas de los Nabaath";"Minas Nabaath";"";"Minas de los Nabaath";"";"";"ナバース家の鉱山";"PlaceName#3226.0";"duty,map,territory"
"territory";"The Navel";"Le Nombril";"Templo del cráter de O'Ghomoro";"El Ombligo";"Ombligo de la Tierra";"";"El Ombligo";"";"";"オ・ゴモロ火口神殿";"PlaceName#359.0";"duty,map,territory"
"territory";"The Nereus Trench";"Fosse de Nérée";"Abismo marino de Nereus";"Fosa de Nereus";"Abismo de Nereus";"";"Fosa de Nereus";"";"";"ネレウス海淵";"PlaceName#3216.0";"duty,map,territory"
"territory";"The Nethergate";"Porte des Dieux";"Sala de la puerta divina";"Puerta del Más Allá";"Portal del Inframundo";"";"Puerta del Más Allá";"";"";"神門の間";"PlaceName#4024.0";"map,marker,territory"
"territory";"The Ocular";"L'Observatoire";"Sala para observar las estrellas";"El Ocular";"Observatorio";"Óculo";"El Ocular";"el Óculo";"";"星見の間 ";"PlaceName#3223.0";"map,marker,territory"
"territory";"The Omphalos";"Omphalos";"Omphalos (nombre transcrito)";"Ónfalo";"El Ónfalo";"";"Ónfalo";"";"";"オムファロス";"PlaceName#4031.0,PlaceName#4449.0,PlaceName#4455.0";"map,mapsub,marker,territory"
"territory";"The Orbonne Monastery";"Monastère d'Orbonne";"Monasterio de Orbonne; variante con «monasterio del placer»";"Monasterio de Orbonne";"Abadía de Orbonne";"";"Monasterio de Orbonne";"";"";"オーボンヌ修道院 / 楽欲の僧院 オーボンヌ";"PlaceName#2864.0,PlaceName#2866.0";"duty,map,mapsub,marker,territory"
"territory";"The Outer Coil";"L'Écheveau";"Espiral de Contención (inglés transcrito)";"Espiral Exterior";"Anillo Exterior";"";"Espiral Exterior";"";"";"バインディングコイル";"PlaceName#1302.0";"duty,map,territory"
"territory";"The Palace of the Dead";"Palais des morts";"Palacio de los muertos";"Palacio de los Muertos";"Palacio de los Difuntos";"";"Palacio de los Muertos";"";"";"死者の宮殿";"PlaceName#1793.0";"duty,map,territory"
"territory";"The Palaistra";"Le Palestre";"Palestra (nombre transcrito)";"La Palestra";"Arena de Entrenamiento";"";"La Palestra";"";"";"パライストラ";"PlaceName#4090.0";"duty,map,territory"
"territory";"The Parrock";"Le Paddock";"Base de amarre Parrock";"El Aprisco";"El Cercado";"";"El Aprisco";"";"";"パロック繋留基地";"PlaceName#1803.0";"map,marker,territory"
"territory";"The Pâtisserie";"Pâtisserie de la Valention";"Pastelería de Valentione (nombre transcrito)";"La Pastelería";"La Confitería";"";"La Pastelería";"";"";"ヴァレンティオンパティスリー";"PlaceName#5278.0";"duty,map,territory"
"territory";"The Peaks";"Les Pics";"Zona montañosa de Gyr Abania";"Los Picos";"Las Cumbres";"Peaks";"Los Picos";"los Peaks";"";"ギラバニア山岳地帯";"PlaceName#2407.0";"duty,map,marker,territory"
"territory";"The Pendants Personal Suite";"Les Pendants";"Residencia Los Colgantes: habitación";"Suite de los Colgantes";"Aposentos de los Colgantes";"";"Aposentos de los Colgantes";"";"";"ペンダント居住館：居室";"PlaceName#3222.0";"map,territory"
"territory";"The Pestilent Purgatory";"Bloc des organismes parasites";"Bloque de aislamiento de organismos parásitos";"Purgatorio Pestilente";"Purgatorio de la Pestilencia";"";"Purgatorio Pestilente";"";"";"寄生生物隔離棟";"PlaceName#4196.0";"duty,map,territory"
"territory";"The Phantoms' Feast";"Banquet cauchemardesque";"Festín Encantado (inglés transcrito)";"Festín de los Fantasmas";"Banquete de los Espectros";"";"Festín de los Fantasmas";"";"";"ホーンテッドフィースト";"PlaceName#3696.0";"duty,map,territory"
"territory";"The Pillars";"Ishgard - Les Contreforts";"Ishgard: nivel superior";"Los Pilares";"Ishgard: Los Pilares";"";"Los Pilares";"";"";"イシュガルド：上層";"PlaceName#2301.0";"duty,map,marker,territory"
"territory";"The Praetorium";"Praetorium";"Castillo magitec Praetorium";"El Pretorio";"Pretorio";"";"Praetorium";"";"";"魔導城プラエトリウム";"PlaceName#430.0,PlaceName#440.0";"duty,map,marker,territory"
"territory";"The Puppets' Bunker";"Base militaire des Pantins";"Base militar de los muñecos";"Búnker de los Títeres";"Búnker de las Marionetas";"";"Base Militar de las Marionetas";"the Puppets' Bunker";"Protegido en el glosario; revisar esa protección si se traduce.";"人形タチノ軍事基地";"PlaceName#3492.0,PlaceName#3576.0";"duty,map,marker,territory"
"territory";"The Qitana Ravel";"Enchevêtrement des Qitari";"Cueva de las sombras divinas de Qitana";"Enredo de Qitana";"Laberinto de Qitana";"";"Enredo de Qitana";"";"";"キタンナ神影洞";"PlaceName#3018.0";"duty,map,mapsub,marker,territory"
"territory";"The Rak'tika Greatwood";"Rak'tika";"Gran bosque de Rak'tika";"Gran Bosque de Rak'tika";"Floresta de Rak'tika";"Gran Selva de Rak'tika";"Gran Bosque de Rak'tika";"la Gran Selva de Rak'tika";"";"ラケティカ大森林";"PlaceName#2957.0";"duty,map,marker,territory"
"territory";"The Red Moon";"Lune rouge";"Luna roja";"Luna Roja";"Luna Carmesí";"";"Luna Roja";"";"";"赤き月";"PlaceName#4382.0";"map,marker,territory"
"territory";"The Red Sands";"Les Sables sanglants";"Arenas Rojas (inglés transcrito)";"Arenas Rojas";"Arenas Carmesíes";"";"Arenas Rojas";"";"";"レッド・サンズ";"PlaceName#4094.0";"duty,map,territory"
"territory";"The Resonatorium";"Laboratoire impérial d'étude sur les Résonnants";"Instituto de investigación de tecnología de trascendencia";"Resonatorio";"Laboratorio de Resonancia";"";"Resonatorio";"";"";"超越技術研究所";"PlaceName#2296.0";"map,territory"
"territory";"The Ridorana Cataract";"Cataractes de Ridorana";"Gran catarata de Ridorana";"Catarata de Ridorana";"Cataratas de Ridorana";"";"Catarata de Ridorana";"";"";"リドルアナ大瀑布";"PlaceName#2451.0";"map,mapsub,marker,territory"
"territory";"The Ridorana Lighthouse";"Le Phare de Ridorana";"Torre sagrada sellada, Ridorana";"Faro de Ridorana";"Gran Faro de Ridorana";"";"Faro de Ridorana";"The Ridorana Lighthouse";"Protegido en el glosario; revisar esa protección si se traduce.";"封じられた聖塔 リドルアナ";"PlaceName#2483.0";"duty,map,marker,territory"
"territory";"The Rising Stones";"Refuge des roches";"Casa de la piedra";"Refugio de las Rocas";"Piedras del Amanecer";"Refugio de las Piedras";"Refugio de las Rocas";"el Refugio de las Piedras";"";"石の家";"PlaceName#481.0";"map,marker,territory"
"territory";"The Roost";"Le Perchoir";"Posada «La Percha»";"El Nido";"La Percha";"Nidal";"La Percha";"el Nidal";"";"旅館「とまり木」";"PlaceName#151.0,PlaceName#548.0";"map,marker,territory"
"territory";"The Royal Airship Landing";"Aérodrome royal";"Embarcadero real de aeronaves de Ala Mhigo";"Embarcadero Real de Aeronaves";"Aeródromo Real";"";"Embarcadero Real de Aeronaves";"";"";"アラミゴ王立飛空艇発着場";"PlaceName#2708.0";"duty,map,territory"
"territory";"The Royal City of Rabanastre";"Cité royale de Rabanastre";"Capital perdida, Rabanastre";"Ciudad Real de Rabanastre";"Capital Real de Rabanastre";"";"Ciudad Real de Rabanastre";"";"";"失われた都 ラバナスタ";"PlaceName#2372.0";"duty,map,marker,territory"
"territory";"The Royal Menagerie";"Ménagerie royale";"Jardín de la azotea del palacio real de Ala Mhigo";"Jardín Zoológico Real";"Casa de Fieras Real";"Jardín de Fieras Real";"Jardín Zoológico Real";"";"";"アラミゴ王宮屋上庭園";"PlaceName#2709.0";"map,territory"
"territory";"The Ruby Sea";"Mer de Rubis";"Mar del rubí";"Mar de Rubí";"Mar Rubí";"Mar de los Rubíes";"Mar de Rubí";"el Mar de Rubí";"";"紅玉海";"PlaceName#2409.0,PlaceName#4365.0";"duty,map,marker,territory"
"territory";"The Sanguine Limbo";"Limbes du Pandæmonium - Abîme";"Pandæmonium: nivel profundo del limbo";"Limbo Sangriento";"Limbo de Sangre";"";"Limbo Sangriento";"";"";"パンデモニウム辺獄深層";"PlaceName#4135.0";"duty,map,territory"
"territory";"The Sea of Clouds";"L'Écume des cieux d'Abalathia";"Mar de nubes de Abalathia";"Mar de Nubes";"Mar de Nubes de Abalathia";"";"Mar de Nubes";"Mar de Nubes";"Distinguirlo de The Churning Mists.";"アバラシア雲海";"PlaceName#2100.0";"duty,map,marker,territory"
"territory";"The Seat of Sacrifice";"Le Trône du Sacrifice";"Trono del primer emperador";"Trono del Sacrificio";"Sede del Sacrificio";"";"Trono del Sacrificio";"";"";"始皇帝の玉座";"PlaceName#3568.0";"duty,map,territory"
"territory";"The Shifting Altars of Uznair";"Temple sacré d'Uznair";"Santuario del canal de Uznair";"Altares Cambiantes de Uznair";"Altares Móviles de Uznair";"";"Templo sagrado de Uznair";"";"";"ウズネアカナル祭殿";"PlaceName#2485.0";"duty,map,territory"
"territory";"The Shifting Gymnasion Agonon";"Elpis Gymnasion";"Santuario del gimnasio de Elpis";"Gimnasio Cambiante de Agonon";"Gymnasion Agonon Cambiante";"";"Gimnasio de Elpis";"";"";"エルピス・ギュムナシオン祭殿";"PlaceName#4287.0";"duty,map,territory"
"territory";"The Shifting Oubliettes of Lyhe Ghiah";"Jardin secret du Lyhe Ghiah";"Santuario de la mazmorra de Lyhe Ghiah";"Calabozos Cambiantes de Lyhe Ghiah";"Mazmorras Móviles de Lyhe Ghiah";"";"Jardín secreto de Lyhe Ghiah";"";"";"リェー・ギア・ダンジョン祭殿";"PlaceName#3644.0";"duty,map,territory"
"territory";"The Sil'dihn Subterrane";"Canalisations sildiennes";"Canales de Sil'dih";"Subterráneos de Sil'dih";"Canales de Sil'dih";"";"Canales de Sil'dih";"Sil'dihn Subterrane";"Protegido en el glosario; revisar esa protección si se traduce.";"シラディハ水道";"PlaceName#4199.0";"duty,map,territory"
"territory";"The Sirensong Sea";"Mer du Chant des sirènes";"Mar de las sirenas";"Mar del Canto de las Sirenas";"Mar del Canto de Sirena";"";"Mar del Canto de las Sirenas";"";"";"セイレーン海";"PlaceName#2297.0,PlaceName#4363.0";"duty,map,territory"
"territory";"The Skydeep Cenote";"Cénote des Cieux infinis";"Cenote de la profundidad celeste";"Cenote de los Cielos Profundos";"Cenote del Abismo Celeste";"";"Cenote de los Cielos Profundos";"Skydeep Cenote";"Protegido en el glosario; revisar esa protección si se traduce.";"天深きセノーテ";"PlaceName#4638.0,PlaceName#5027.0";"duty,map,marker,territory"
"territory";"The Stagnant Limbo";"Limbes du Pandæmonium - Cloaque";"Pandæmonium: canal del limbo";"Limbo Estancado";"Limbo Inmóvil";"";"Limbo Estancado";"";"";"パンデモニウム辺獄水道";"PlaceName#3798.0";"duty,map,territory"
"territory";"The Stigma Dreamscape";"Rêve électrique de Stigma-4";"Stigma Cuatro (inglés transcrito)";"Sueño de Stigma";"Paisaje Onírico de Stigma";"";"Sueño de Stigma";"";"";"スティグマ・フォー";"PlaceName#3783.0";"duty,map,marker,territory"
"territory";"The Striking Tree";"Arbre du jugement";"Lugar del juicio divino del árbol antiguo";"Árbol del Juicio";"Árbol Fulminante";"";"Árbol del Juicio";"";"";"古木の神判地";"PlaceName#1363.0";"duty,map,territory"
"territory";"The Sunken Temple of Qarn";"Temple enseveli de Qarn";"Templo sepultado de Qarn; variante con «exploración de ruinas»";"Templo Sepultado de Qarn";"Templo Hundido de Qarn";"Templo Enterrado de Qarn";"Templo Sepultado de Qarn";"";"";"カルン埋没寺院 / 遺跡探索 カルン埋没寺院";"PlaceName#50.0,PlaceName#312.0,PlaceName#1058.0";"duty,map,marker,territory"
"territory";"The Swallow's Compass";"Compas de l'Hirondelle";"Mausoleo de Ganen";"Brújula de la Golondrina";"Compás de la Golondrina";"";"Brújula de la Golondrina";"";"";"ガンエン廟";"PlaceName#2437.0,PlaceName#2801.0";"duty,map,mapsub,marker,territory"
"territory";"The Syrcus Trench";"Gorge de Syrcus";"Garganta de Syrcus";"Fosa de Syrcus";"Garganta de Syrcus";"";"Fosa de Syrcus";"";"";"シルクスの峡間";"PlaceName#3221.0";"map,marker,territory"
"territory";"The Tam-Tara Deepcroft";"Hypogée de Tam-Tara";"Sepulcro de Tam-Tara; variante con «mausoleo subterráneo»";"Cripta de Tam-Tara";"Sepulcro de Tam-Tara";"Hipogeo de Tam-Tara";"Cripta de Tam-Tara";"";"";"タムタラの墓所 / 地下霊殿 タムタラの墓所";"PlaceName#58.0,PlaceName#97.0,PlaceName#1051.0";"duty,map,marker,territory"
"territory";"The Tempest";"La Tempête";"Tempestad (inglés transcrito)";"La Tempestad";"La Tormenta";"";"La Tempestad";"la Tempestad";"The Tempest designa una zona, no un fenómeno meteorológico en esta fila.";"テンペスト";"PlaceName#2958.0";"duty,map,marker,territory"
"territory";"The Temple of the Fist";"Temple du Poing";"Templo de la montaña que guía las estrellas; variante con nota de desarrollo sobre el nombre de la instancia";"Templo del Puño";"Templo del Puño Cerrado";"";"Templo del Puño";"the Temple of the Fist";"Protegido en el glosario; revisar esa protección si se traduce.";"星導山寺院 / 星導山寺院　　　コンテンツ名は「壊神修行 星導山寺院」";"PlaceName#1924.0,PlaceName#2707.0";"duty,map,marker,territory"
"territory";"The Thousand Maws of Toto-Rak";"Mille Gueules de Toto-Rak";"Las mil prisiones de Toto-Rak; variante con «ruinas de una prisión»";"Las Mil Fauces de Toto-Rak";"Las Mil Bocas de Toto-Rak";"";"Las Mil Fauces de Toto-Rak";"";"";"トトラクの千獄 / 監獄廃墟 トトラクの千獄";"PlaceName#61.0,PlaceName#120.0,PlaceName#1050.0";"duty,map,marker,territory"
"territory";"The Thundering";"Ring du Tonnerre terrifiant";"Ring del Trueno (inglés transcrito)";"Cuadrilátero del Trueno";"Ring del Estruendo";"";"Cuadrilátero del Trueno";"";"";"リング・オブ・サンダー";"PlaceName#5103.0";"duty,map,territory"
"territory";"The Tower at Paradigm's Breach";"Tour de la Contingence";"Batería de la esperanza: «Torre»";"Torre de la Ruptura del Paradigma";"Torre de la Brecha del Paradigma";"";"Torre de la Ruptura del Paradigma";"";"";"希望ノ砲台：「塔」";"PlaceName#3647.0";"duty,map,marker,territory"
"territory";"The Tower of Babil";"Tour de Babil";"Torre de Babil";"Torre de Babil";"Torre Babil";"";"Torre de Babil";"";"";"バブイルの塔";"PlaceName#3923.0,PlaceName#4118.0";"duty,map,marker,territory"
